# FractureId; NumTraces
0; 113
# TraceId; Tips; Length
633; 0; 6.8876858203857139e-01
579; 0; 5.0701317110178690e-01
586; 0; 2.2571020350026200e-01
636; 0; 2.1596302604295214e-01
615; 0; 1.0480951991993431e-01
589; 1; 9.9016480714150357e-01
627; 1; 9.1597523722109730e-01
585; 1; 9.0052642556232421e-01
623; 1; 8.1124189810263891e-01
596; 1; 7.3920446884841584e-01
591; 1; 7.3198095860633217e-01
599; 1; 7.2686662023441884e-01
607; 1; 7.2517402926768826e-01
625; 1; 7.0397869187348960e-01
601; 1; 6.8676519066428343e-01
207; 1; 6.8583341698663791e-01
618; 1; 6.5909341504093366e-01
635; 1; 6.4969132651954797e-01
630; 1; 6.0569123851299456e-01
631; 1; 5.9633710541587404e-01
605; 1; 5.9558625308258384e-01
622; 1; 5.7898105270320532e-01
603; 1; 5.7236614581676082e-01
598; 1; 5.6773624876179984e-01
595; 1; 5.5728023022170525e-01
606; 1; 5.4635701918309887e-01
590; 1; 5.2983603240876931e-01
624; 1; 5.2009411223359481e-01
616; 1; 5.1447386814408613e-01
629; 1; 5.0893002525553410e-01
581; 1; 4.7672811020889805e-01
608; 1; 4.7250883647289232e-01
580; 1; 4.4344543920954138e-01
602; 1; 4.3976619924937310e-01
583; 1; 4.3947689270305618e-01
584; 1; 4.3356447530932563e-01
620; 1; 4.3181903420905404e-01
571; 1; 4.0944010659097096e-01
592; 1; 4.0527011887200415e-01
597; 1; 3.7264434079649733e-01
587; 1; 3.7225722602337857e-01
621; 1; 3.6778896386162735e-01
628; 1; 3.5810227529769290e-01
572; 1; 3.5273832634881896e-01
638; 1; 3.5247805886653794e-01
612; 1; 3.3862061973736984e-01
619; 1; 3.2857189258261105e-01
610; 1; 3.1285999111514684e-01
632; 1; 3.0685252781531946e-01
626; 1; 2.8535319979910717e-01
604; 1; 2.6758670910765975e-01
609; 1; 2.4941142003590366e-01
634; 1; 2.3003853399824703e-01
614; 1; 2.2661867405614333e-01
617; 1; 2.0727465690827324e-01
582; 1; 1.9717099809437907e-01
637; 1; 1.7429151426359935e-01
594; 1; 1.6038852589881700e-01
577; 1; 1.5428721531141290e-01
578; 1; 1.4113782972795519e-01
600; 1; 1.2661973370932952e-01
611; 1; 8.5131803584462776e-02
588; 1; 7.2975571721760626e-02
576; 1; 5.4947996099995303e-02
613; 1; 4.9563841756453619e-02
574; 1; 3.3330352797862908e-02
575; 1; 2.5229269025443191e-02
# FractureId; NumTraces
6; 75
# TraceId; Tips; Length
653; 0; 8.8089642063547668e-01
664; 0; 8.7098919366856231e-01
208; 0; 6.6724481905364652e-01
699; 0; 6.5213485015084027e-01
666; 0; 6.1298109239458909e-01
712; 0; 5.8472100636407287e-01
679; 0; 5.7910244950872136e-01
660; 0; 5.7697092009282347e-01
571; 0; 4.0944010659097096e-01
662; 0; 3.7171041617883832e-01
685; 0; 3.5506292452138671e-01
646; 0; 2.7152959691701045e-01
688; 0; 2.6718690023802344e-01
672; 0; 2.5415708141567045e-01
698; 0; 2.5936093898065154e-02
650; 0; 4.0769147552918838e-03
709; 1; 9.1678200897223039e-01
659; 1; 8.3005367190034673e-01
656; 1; 7.4344771889384875e-01
669; 1; 6.9674134808689203e-01
682; 1; 6.7057695424588959e-01
694; 1; 6.6011833994224256e-01
657; 1; 6.1296014318073933e-01
655; 1; 5.8506425249513616e-01
647; 1; 5.7601338278538450e-01
642; 1; 5.4711646642946077e-01
692; 1; 5.3078860694818419e-01
654; 1; 5.1379308475349539e-01
695; 1; 4.8758024433280422e-01
668; 1; 4.8643089672293705e-01
674; 1; 4.6342769642834269e-01
671; 1; 4.2459230784702473e-01
705; 1; 4.2341416037533891e-01
691; 1; 4.2301615435952927e-01
678; 1; 4.1074790024352964e-01
684; 1; 3.9728035302150672e-01
658; 1; 3.8360871921929968e-01
696; 1; 3.7910600716795528e-01
648; 1; 3.6488128909297640e-01
701; 1; 3.5935809078346281e-01
651; 1; 3.5608769848919763e-01
697; 1; 3.4847395621840921e-01
690; 1; 3.3878787151708406e-01
708; 1; 3.3594543633791341e-01
645; 1; 3.2967767538935416e-01
704; 1; 2.9348501462712567e-01
663; 1; 2.9244985636490245e-01
649; 1; 2.8580106071542805e-01
675; 1; 2.7755944507376362e-01
644; 1; 2.2778657305827321e-01
677; 1; 2.2089762687147149e-01
661; 1; 2.1061969683231149e-01
689; 1; 2.0417511420278667e-01
680; 1; 2.0331229483992602e-01
686; 1; 2.0102022077412662e-01
681; 1; 1.8978437807507090e-01
700; 1; 1.7855113391615915e-01
707; 1; 1.6032536783009094e-01
652; 1; 1.5571182089569213e-01
